,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2689,305c2942-85a6-4ee6-b0a1-2f21cf01f1f5,RANKED_SOLO_5x5,SILVER,III,UlxIOUc03Td2-djpsQt3Rr9qlQdZRldaIhf8aUL9zew-xkRF,Øhkee ,56.0,55.0,43.0,False,False,False,False
2690,215daa17-e9ab-4d36-856e-27be9a6f1d5f,RANKED_SOLO_5x5,SILVER,III,mrdLNc5nQ3bwwydHWt3c5cgLo7pFZKL6LiSPe5WJ4r_dqssf,Maculous,0.0,298.0,305.0,False,False,False,False
2691,27a3ba79-028a-4225-883b-69e16e8bba1c,RANKED_SOLO_5x5,SILVER,III,3BYbizN0YduY--nj5MXLI2rLy3WB4q1qG0hTQVdyqMdNC3tm,SkyLord166,75.0,144.0,147.0,False,False,False,False
2692,2ff7ddc3-5f11-4c64-9cf2-f489f835ec9e,RANKED_SOLO_5x5,SILVER,III,uxGkInetAEIlQTyFKabgJeFVs7504BzsThikshrRKQTZCt16,CROSSJ,70.0,6.0,4.0,False,False,False,True
2693,ffbf4a23-dbbc-4bd5-bd31-861134848597,RANKED_SOLO_5x5,SILVER,III,R8FDKwtNb5qjBwTufNYXIZmFlcAAxwnteuYLGOXflVbiUM30,Blasayyy,100.0,57.0,57.0,False,False,True,True
2694,70d5ba73-f994-498e-bf57-2846320c8834,RANKED_SOLO_5x5,SILVER,III,SMGlqm6bkxclZ-t78UtOX23c_PzhmPFcv9MlIwDZ_ChTrrPo,Xulky,29.0,45.0,56.0,False,False,False,False
2695,f46d4a21-00c2-4caf-8adf-a192917adeaa,RANKED_SOLO_5x5,SILVER,III,7ieJfIZQ3tGY2JtSDml6vbzvCl5DALhBdfPuaMH8lYJ_syQh,Maidenly,41.0,35.0,27.0,False,False,False,False
2696,c76962d1-7dd6-4bbc-bac3-5724d1ea444b,RANKED_SOLO_5x5,SILVER,III,0AjZpxTqYlC7UDs7DkyrFPhG9KkAali6Y0ChScKJF3-TgYJ8,dawgaholic,47.0,118.0,118.0,False,False,False,False
2697,f743ccfe-de01-46bd-b1e2-bb81b3c82170,RANKED_SOLO_5x5,SILVER,III,6_mXCJdGQ700KTezH6mZTjkY0iR5yLYCujU4Dj23s0Ktg004,Dino927,36.0,36.0,25.0,False,False,False,False
2698,91715ec3-6096-467a-9c68-e26952ebe15d,RANKED_SOLO_5x5,SILVER,III,qy_bFv-poBx4CSkkhHL7cKDHUXxP7Y0vBzgLrEwlteWHRF_2,Rage Engine,18.0,86.0,92.0,False,False,False,False
